"id","label","text"
"2","Ask action","不用听3发言。3只要不起跳么那肯定是好人。必须是好人"
"3","Ask action","只要不起跳那必须是好人"
"4","Ask action","我反正是狼你强你强你快去吧"
"5","Ask action","3号玩家完全没有意见那我跳我跳"
"6","Ask action","挺好挺好"
"7","Ask action","但是我有一句说一句啊"
"8","Ask action","我不觉得7跟12.假设7是狼12一定是狼。"
"9","Ask action","不要把这种先入为主的观点灌输进去"
"10","Ask action","对不对。因为有可能7号玩家信誉度不是很高"
"11","Ask action","万一他就是狼要污一下12呀"
"12","Ask action","也有可能呀"
"13","Ask action","你要盘7、12一定是双狼。这个是站在7号玩家是狼的角度啊"
"14","Ask action","如果12号玩家反水。"
"15","Ask action","假设12号玩家反水"
"16","Ask action","不用立警"
"17","Ask action","只要12号玩家反水。7号玩家是直接出局的"
"18","Ask action","假设12号玩家铁站边7或者偏向于站边7我们再来考虑7跟12双狼的可能性"
"19","Ask action","我是这么觉得的不要这么武断"
"20","Ask action","好刚啊2、3、4交身份"
"21","Ask action","3不用交。只要不起跳铁好人"
"22","Ask action","我要听一下对跳的预言家预言"
"23","Ask action","你肯定不会了"
"24","Ask action","你刚才记笔记了"
"25","Ask action","你肯定不会跳"
"26","Ask action","那7一跳你就记笔记"
"27","Ask action","我再听一下发言吧"
"28","Ask action","听一下对跳的再说"
"29","Ask action","我们不要太武断"
"30","Check emotion","前面都不让我跳了"
"31","Check emotion","那我不跳能行吗"
"32","Check emotion","3查杀。警徽流打一个4。想要打一个10"
"33","Check emotion","12我想听一听发言"
"34","Check emotion","然后前置位我认为9偏好"
"35","Check emotion","我其实对9的身份是没有去定义的"
"36","Check emotion","但是前置位跟我对跳的那张悍跳狼人牌说这个6还行"
"37","Check emotion","然后呢我认为前置位很刚且状态偏轻松的9号牌也说这个6还行"
"38","Check emotion","所以说我把你6往后靠一靠"
"39","Check emotion","右置位8和10的话。我认为10的狼面要比8大"
"40","Check emotion","警上呢我就留这个10的警徽流"
"41","Check emotion","警下的话4、5我就留这个4"
"42","Check emotion","3是个狼。验3的心路历程很简单"
"43","Check emotion","老哥哥很不容易。我就想摸出来是个金水我就保护他"
"44","Check emotion","那如果说验出来他是个狼。就像现在这种情况也挺尴尬"
"45","Check emotion","十年生死两茫茫。我是好人你是狼"
"46","Check emotion","我不知道你们夜里面怎么打的格式"
"47","Check emotion","但是总归目前在我的视角里面3、7是两狼"
"48","Check emotion","警下4、5里面我开4"
"49","Check emotion","警上我开这个10"
"50","Check emotion","我认为9偏好。10比8好"
"51","Check emotion","6这张牌警下听站边"
"52","Check emotion","但是呢前置位对跳的那张狼都认为你还行的话"
"53","Check emotion","6这张牌我就往后靠"
"54","Check emotion","我没把12号你留进警徽流。是因为我想听听你的发言。因为你在我的后置位"
"55","Check emotion","1、2两张牌也可以听发言"
"56","Check emotion","那么在这三张牌的话我听听发言。前置位里面就留一个10就完事了"
"57","Check emotion","没有什么要多聊的了"
"58","Check emotion","接下来就看3号的表演了"
